Test symbol,result,step,path,priority
TestByFCBatAuto,Pass,Test_build,Test.vbs,1000
Sample,Pass,Test_build,TestPrompt\Sample\Test.vbs,1000
T_Prpt,Pass,Test_build,TestPrompt\T_Prpt\Test.vbs,1000
T_SubTest,Pass,Test_build,TestPrompt\T_SubTest\Test.vbs,1000
T_TestScErr,Pass,Test_build,TestPrompt\T_TestScErr\Test.vbs,1000
T_TestScName,Pass,Test_build,TestPrompt\T_TestScName\Test.vbs,1000
T_TestSet,Pass,Test_build,TestPrompt\T_TestSet\Test.vbs,1000
Call_and_Log,Pass,Test_build,TestScript\test\Call_and_Log\Test.vbs,1000
Launcher,Pass,Test_build,TestScript\test\Launcher\Test.vbs,1000
T_AutoDiff,Pass,Test_build,TestScript\test\T_AutoDiff\Test.vbs,1000
T_fc,Pass,Test_build,TestScript\test\T_fc\Test.vbs,1000
T_fcNoFeq,Pass,Test_build,TestScript\test\T_fc\T_fcNoFeq\Test.vbs,1000
T_Priority,Pass,Test_build,TestScript\test\T_Priority\Test.vbs,1000
module1,Pass,Test_build,TestScript\test\T_Priority\modules\module1\Test.vbs,1100
module2,Pass,Test_build,TestScript\test\T_Priority\modules\module2\Test.vbs,1000
module3,Pass,Test_build,TestScript\test\T_Priority\modules\module3\Test.vbs,900
T_SectionTree,Pass,Test_build,TestScript\test\T_SectionTree\Test.vbs,1000
T_Skip,Pass,Test_build,TestScript\test\T_Skip\Test.vbs,1000
T_SomeTests,Pass,Test_build,TestScript\test\T_SomeTests\Test.vbs,1000
T_TempTests,Pass,Test_build,TestScript\test\T_TempTests\Test.vbs,1000
T_TestDebug,Pass,Test_build,TestScript\test\T_TestDebug\Test.vbs,1000
TestsClass,Pass,Test_build,TestScript\test\TestsClass\Test.vbs,1000
sample,Pass,Test_build,vbs_inc\sample\Test.vbs,1000
T_CompileDebug,Pass,Test_build,vbs_inc\test\T_CompileDebug\Test.vbs,1000
T_DebugParam,Pass,Test_build,vbs_inc\test\T_DebugParam\Test.vbs,1000
T_DebugSrc,Pass,Test_build,vbs_inc\test\T_DebugSrc\Test.vbs,1000
T_Include,Pass,Test_build,vbs_inc\test\T_Include\Test.vbs,1000
T_NewMain1,Pass,Test_build,vbs_inc\test\T_NewMain1\Test.vbs,1000
T_StartFromOther,Pass,Test_build,vbs_inc\test\T_StartFromOther\Test.vbs,1000
T_vbsinc,Pass,Test_build,vbs_inc\test\T_vbsinc\Test.vbs,1000
T_Verbose,Pass,Test_build,vbs_inc\test\T_Verbose\Test.vbs,1000
